Data Set 1:Time(s),Data Set 1:Position Y 1(m),Data Set 1:Velocity Y 1(m/s),Data Set 1:Acceleration Y 1(m/s??),Data Set 1:Position Y 2(m),Data Set 1:Velocity Y 2(m/s),Data Set 1:Acceleration Y 2(m/s??),Data Set 2:Time(s),Data Set 2:Position Y 1(m),Data Set 2:Velocity Y 1(m/s),Data Set 2:Acceleration Y 1(m/s??),Data Set 2:Position Y 2(m),Data Set 2:Velocity Y 2(m/s),Data Set 2:Acceleration Y 2(m/s??),Data Set 3:Time(s),Data Set 3:Position Y 1(m),Data Set 3:Velocity Y 1(m/s),Data Set 3:Acceleration Y 1(m/s??),Data Set 3:Position Y 2(m),Data Set 3:Velocity Y 2(m/s),Data Set 3:Acceleration Y 2(m/s??),Data Set 4:Time(s),Data Set 4:Position Y 1(m),Data Set 4:Velocity Y 1(m/s),Data Set 4:Acceleration Y 1(m/s??),Data Set 4:Position Y 2(m),Data Set 4:Velocity Y 2(m/s),Data Set 4:Acceleration Y 2(m/s??),Data Set 5:Time(s),Data Set 5:Position Y 1(m),Data Set 5:Velocity Y 1(m/s),Data Set 5:Acceleration Y 1(m/s??),Data Set 5:Position Y 2(m),Data Set 5:Velocity Y 2(m/s),Data Set 5:Acceleration Y 2(m/s??),Data Set 6:Time(s),Data Set 6:Position Y 1(m),Data Set 6:Velocity Y 1(m/s),Data Set 6:Acceleration Y 1(m/s??),Data Set 6:Position Y 2(m),Data Set 6:Velocity Y 2(m/s),Data Set 6:Acceleration Y 2(m/s??),Data Set 7:Time(s),Data Set 7:Position Y 1(m),Data Set 7:Velocity Y 1(m/s),Data Set 7:Acceleration Y 1(m/s??),Data Set 7:Position Y 2(m),Data Set 7:Velocity Y 2(m/s),Data Set 7:Acceleration Y 2(m/s??),Data Set 9:Time(s),Data Set 9:Position Y 1(m),Data Set 9:Velocity Y 1(m/s),Data Set 9:Acceleration Y 1(m/s??),Data Set 9:Position Y 2(m),Data Set 9:Velocity Y 2(m/s),Data Set 9:Acceleration Y 2(m/s??),Data Set 11:Time(s),Data Set 11:Position Y 1(m),Data Set 11:Velocity Y 1(m/s),Data Set 11:Acceleration Y 1(m/s??),Data Set 11:Position Y 2(m),Data Set 11:Velocity Y 2(m/s),Data Set 11:Acceleration Y 2(m/s??),Data Set 12:Time(s),Data Set 12:Position Y 1(m),Data Set 12:Velocity Y 1(m/s),Data Set 12:Acceleration Y 1(m/s??),Data Set 12:Position Y 2(m),Data Set 12:Velocity Y 2(m/s),Data Set 12:Acceleration Y 2(m/s??)
0.42,2.195683241,0,0,1.452679634,0.841692256,-0.056612627,0.42,3.223194122,0,0,1.249284863,0,0,0.42,3.916451693,0,0,1.257616758,0.005615751,0.990210733,0.42,3.916206598,0,0,1.266928792,0,0,0.42,3.914491415,0,0.000826578,1.460766435,0.835566305,-0.02328134,0.42,3.914491415,0,0,1.292414427,-0.002042452,-0.021984732,0.42,4.265898705,0,0.006145119,1.813398957,0.826887124,-0.023628229,0.42,4.270309448,0,0,3.837544441,0,0,0.42,4.282562256,0,0,3.311903715,0,0,0.42,4.411460876,0.806973709,0.257487696,3.308717966,0,0
0.46,2.195683241,0,0,1.486252069,0.839139273,-0.061929559,0.46,3.223194122,0,0,1.249284863,0,0,0.46,3.916451693,0,0,1.257616758,0.044415808,2.606294095,0.46,3.916206598,0,0,1.266928792,0,0,0.46,3.914491415,0,0.000118083,1.494093776,0.83369414,-0.034748105,0.46,3.914491415,0,0,1.292169333,-0.002212657,0.006619059,0.46,4.265898705,0,0.050342929,1.846481323,0.826206555,-0.065234202,0.46,4.270309448,0,0,3.837544441,0,0,0.46,4.282562256,0,0,3.311903715,0,0,0.46,4.443562508,0.805782278,0.01821598,3.308717966,0,0
0.5,2.195683241,0,0,1.519824386,0.836416251,-0.061215143,0.5,3.223194122,0,0,1.249284863,0,0,0.5,3.916451693,0,0,1.257616758,0.183959968,4.750284205,0.5,3.916206598,0,0,1.266928792,0,0,0.5,3.914491415,0,0,1.527421117,0.832672914,-0.034395007,0.5,3.914491415,0,0,1.292169333,-0.000680817,0.017020437,0.5,4.265898705,0,0.268141797,1.87956357,0.823993981,-0.220169716,0.5,4.270309448,0,0,3.837544441,0,0,0.5,4.282562256,0,0,3.311903715,0,0,0.5,4.47590971,0.804934237,-0.02986993,3.308717966,0,0
0.54,2.195683241,0,0,1.553151727,0.833864013,-0.052939824,0.54,3.223194122,0,0,1.249284863,0,0,0.54,3.916451693,0,0,1.26570344,0.474281278,5.558981031,0.54,3.916206598,0,0,1.266928792,0,0,0.54,3.914491415,0,0,1.560748458,0.830800666,-0.031203618,0.54,3.914491415,0,0,1.292169333,-0.000170204,0.010283181,0.54,4.265898705,0.008848972,0.852999726,1.912400842,0.817016429,-0.658725952,0.54,4.270309448,0,0,3.837544441,0,0,0.54,4.282562256,0,0,3.311903715,0,0,0.54,4.508011818,0.803062982,-0.038984933,3.308717966,0,0
0.58,2.195683241,0,0,1.586479068,0.832502709,-0.050341549,0.58,3.223194122,0,0,1.249284863,0,0,0.58,3.916451693,0,0,1.297315478,0.725121713,4.019587715,0.58,3.916206598,0,0,1.266928792,0,-0.000118197,0.58,3.914491415,0,0,1.593830705,0.830119848,-0.028246841,0.58,3.914491415,0,0,1.292169333,0,0.004018714,0.58,4.265898705,0.045946903,1.903481919,1.945237994,0.790639139,-1.553445939,0.58,4.270309448,0,0,3.837544441,0,0,0.58,4.282562256,0,0,3.311903715,0,0,0.58,4.540113926,0.801871883,-0.044789027,3.308717966,0,0
0.62,2.195683241,0,0,1.619806409,0.830120179,-0.054123294,0.62,3.223194122,0,0,1.249284863,0,0,0.62,3.916451693,0,0,1.330642819,0.813102143,1.876898466,0.62,3.916206598,0,0,1.266928792,0,-0.000709185,0.62,3.914491415,0,0.000118083,1.627158046,0.829268909,-0.041598443,0.62,3.914491415,0,0,1.292169333,0,0.000827382,0.62,4.265898705,0.168642733,2.685955231,1.978075266,0.701637401,-2.557604493,0.62,4.270309448,0,0,3.837544441,0,0,0.62,4.282562256,0,0,3.311903715,0,0,0.62,4.572216034,0.799489021,-0.048932148,3.308717966,0,0
0.66,2.195683241,0,0,1.652888656,0.827738063,-0.050462276,0.66,3.223194122,0,0,1.249284863,0,0,0.66,3.916451693,0,0,1.364215136,0.834033721,0.589118845,0.66,3.916206598,0,0,1.266928792,0,0.004726577,0.66,3.914491415,0,0.000826578,1.660240293,0.826886379,-0.056011464,0.66,3.914491415,0,0,1.292169333,0,0.007208897,0.66,4.278641224,0.308869282,2.306627087,2.00405097,0.552222795,-2.700490532,0.66,4.270309448,0,0,3.837544441,0,0,0.66,4.282562256,0,0,3.311903715,0,0,0.66,4.604073048,0.797276364,-0.038177557,3.308717966,0,0
0.7,2.195683241,0,0,1.685971022,0.826376511,-0.053659357,0.7,3.223194122,0,0,1.249284863,0,0,0.7,3.916451693,0,0,1.397542477,0.833013074,0.078356537,0.7,3.916206598,0,0,1.266928792,-0.000170204,0.06523311,0.7,3.914491415,0,0.003896723,1.693322539,0.824164102,-0.055418695,0.7,3.914491415,0,0,1.292169333,0,0.065470712,0.7,4.293834686,0.376262267,1.298902487,2.020469666,0.44296922,-1.79147756,0.7,4.270309448,0,0,3.837544441,0,0,0.7,4.282562256,0,0,3.311903715,0,0,0.7,4.635930061,0.796425343,-0.026949026,3.308717966,0,0
0.74,2.195683241,0,0,1.719053268,0.823823031,-0.064410154,0.74,3.223194122,0,0,1.249284863,0,0.000827267,0.74,3.916451693,0,0,1.430869818,0.830290301,-0.036512042,0.74,3.916206598,0,0,1.266928792,-0.000510613,0.391522089,0.74,3.914491415,0.000170039,0.009564683,1.726159811,0.821782069,-0.038172268,0.74,3.914491415,0,0,1.292169333,0,0.368124909,0.74,4.31025362,0.399234229,0.518774959,2.036398172,0.408932236,-0.78341481,0.74,4.270309448,0,0.000118197,3.837544441,0,0,0.74,4.282562256,0,0.00330907,3.311903715,0,0,0.74,4.667787075,0.795744525,-0.028603791,3.308717966,0,0
0.78,2.195683241,0,0.006499712,1.751890421,0.820930385,-0.072319842,0.78,3.223194122,0,0,1.249284863,0,0.018554073,0.78,3.916451693,0,0,1.463952065,0.827908268,-0.037341379,0.78,3.916206598,0,0,1.266928792,0.00986995,1.385637593,0.78,3.914491415,0.000680155,0.013815653,1.758997083,0.821100755,-0.020450981,0.78,3.914491415,0,0,1.292169333,0.010210607,1.29180443,0.78,4.326181889,0.401954187,0.140978552,2.052571535,0.401444402,-0.243674745,0.78,4.270309448,0,0.000827382,3.837544441,0,0,0.78,4.282562256,0,0.037817445,3.311903715,0,0,0.78,4.699644089,0.794042481,-0.031085938,3.308717966,0,0
